Lance,Fecha,skj,bet,yft,Others
12,09/05/2019,60,33,,
12,09/05/2019,56,,,
12,09/05/2019,52,,,
12,09/05/2019,53,,,
12,09/05/2019,48,,,
12,09/05/2019,50,,,
12,09/05/2019,57,,,
12,09/05/2019,50,,,
12,09/05/2019,50,,,
12,09/05/2019,48,,,
12,09/05/2019,51,,,
12,09/05/2019,55,,,
12,09/05/2019,40,,,
12,09/05/2019,57,,,
12,09/05/2019,60,,,
12,09/05/2019,54,,,
12,09/05/2019,64,,,
12,09/05/2019,53,,,
12,09/05/2019,47,,,
12,09/05/2019,57,,,
12,09/05/2019,58,,,
12,09/05/2019,57,,,
12,09/05/2019,52,,,
12,09/05/2019,49,,,
12,09/05/2019,53,,,
12,09/05/2019,47,,,
12,09/05/2019,49,,,
12,09/05/2019,38,,,
12,09/05/2019,52,,,
12,09/05/2019,54,,,
12,09/05/2019,48,,,
12,09/05/2019,40,,,
12,09/05/2019,59,,,
12,09/05/2019,58,,,
12,09/05/2019,45,,,
12,09/05/2019,35,,,
12,09/05/2019,53,,,
12,09/05/2019,57,,,
12,09/05/2019,51,,,
12,09/05/2019,36,,,
12,09/05/2019,49,,,
12,09/05/2019,50,,,
12,09/05/2019,37,,,
12,09/05/2019,47,,,
12,09/05/2019,55,,,
12,09/05/2019,61,,,
12,09/05/2019,62,,,
12,09/05/2019,50,,,
12,09/05/2019,60,,,
12,09/05/2019,53,,,
12,09/05/2019,50,,,
12,09/05/2019,51,,,
12,09/05/2019,50,,,
12,09/05/2019,44,,,
12,09/05/2019,57,,,
12,09/05/2019,61,,,
12,09/05/2019,51,,,
12,09/05/2019,51,,,
12,09/05/2019,57,,,
12,09/05/2019,48,,,
12,09/05/2019,44,,,
12,09/05/2019,62,,,
12,09/05/2019,60,,,
12,09/05/2019,58,,,
12,09/05/2019,57,,,
12,09/05/2019,48,,,
12,09/05/2019,47,,,
12,09/05/2019,46,,,
12,09/05/2019,48,,,
12,09/05/2019,36,,,
12,09/05/2019,65,,,
12,09/05/2019,56,,,
12,09/05/2019,54,,,
12,09/05/2019,54,,,
12,09/05/2019,55,,,
12,09/05/2019,62,,,
12,09/05/2019,53,,,
12,09/05/2019,58,,,
12,09/05/2019,57,,,
12,09/05/2019,54,,,
12,09/05/2019,58,,,
12,09/05/2019,49,,,
12,09/05/2019,53,,,
12,09/05/2019,41,,,
12,09/05/2019,42,,,
12,09/05/2019,46,,,
12,09/05/2019,60,,,
12,09/05/2019,57,,,
12,09/05/2019,52,,,
12,09/05/2019,58,,,
12,09/05/2019,63,,,
12,09/05/2019,52,,,
12,09/05/2019,55,,,
12,09/05/2019,46,,,
12,09/05/2019,49,,,
