"Resample";"modelo";"metrica";"valor"
"Fold1.Rep1";"gbm";"Accuracy";0.933579335793358
"Fold1.Rep2";"gbm";"Accuracy";0.940520446096654
"Fold1.Rep3";"gbm";"Accuracy";0.951851851851852
"Fold1.Rep4";"gbm";"Accuracy";0.944649446494465
"Fold1.Rep5";"gbm";"Accuracy";0.933333333333333
"Fold2.Rep1";"gbm";"Accuracy";0.959259259259259
"Fold2.Rep2";"gbm";"Accuracy";0.955555555555556
"Fold2.Rep3";"gbm";"Accuracy";0.948339483394834
"Fold2.Rep4";"gbm";"Accuracy";0.951851851851852
"Fold2.Rep5";"gbm";"Accuracy";0.962825278810409
"Fold3.Rep1";"gbm";"Accuracy";0.955555555555556
"Fold3.Rep2";"gbm";"Accuracy";0.974074074074074
"Fold3.Rep3";"gbm";"Accuracy";0.966666666666667
"Fold3.Rep4";"gbm";"Accuracy";0.940740740740741
"Fold3.Rep5";"gbm";"Accuracy";0.974074074074074
"Fold4.Rep1";"gbm";"Accuracy";0.910780669144981
"Fold4.Rep2";"gbm";"Accuracy";0.966789667896679
"Fold4.Rep3";"gbm";"Accuracy";0.940520446096654
"Fold4.Rep4";"gbm";"Accuracy";0.962962962962963
"Fold4.Rep5";"gbm";"Accuracy";0.937269372693727
"Fold5.Rep1";"gbm";"Accuracy";0.955555555555556
"Fold5.Rep2";"gbm";"Accuracy";0.922222222222222
"Fold5.Rep3";"gbm";"Accuracy";0.955555555555556
"Fold5.Rep4";"gbm";"Accuracy";0.944237918215613
"Fold5.Rep5";"gbm";"Accuracy";0.937037037037037
"Fold1.Rep1";"gbm";"Kappa";0.843703941044537
"Fold1.Rep2";"gbm";"Kappa";0.856667110696683
"Fold1.Rep3";"gbm";"Kappa";0.88245931283906
"Fold1.Rep4";"gbm";"Kappa";0.86839975395772
"Fold1.Rep5";"gbm";"Kappa";0.838998211091234
"Fold2.Rep1";"gbm";"Kappa";0.901256732495512
"Fold2.Rep2";"gbm";"Kappa";0.893428063943162
"Fold2.Rep3";"gbm";"Kappa";0.877597109304426
"Fold2.Rep4";"gbm";"Kappa";0.884135472370767
"Fold2.Rep5";"gbm";"Kappa";0.91105085642484
"Fold3.Rep1";"gbm";"Kappa";0.891891891891892
"Fold3.Rep2";"gbm";"Kappa";0.938053097345133
"Fold3.Rep3";"gbm";"Kappa";0.919786096256685
"Fold3.Rep4";"gbm";"Kappa";0.859894921190893
"Fold3.Rep5";"gbm";"Kappa";0.937611408199644
"Fold4.Rep1";"gbm";"Kappa";0.783457436103844
"Fold4.Rep2";"gbm";"Kappa";0.920488997555012
"Fold4.Rep3";"gbm";"Kappa";0.858681376411873
"Fold4.Rep4";"gbm";"Kappa";0.90990990990991
"Fold4.Rep5";"gbm";"Kappa";0.847687373954442
"Fold5.Rep1";"gbm";"Kappa";0.891891891891892
"Fold5.Rep2";"gbm";"Kappa";0.808743169398907
"Fold5.Rep3";"gbm";"Kappa";0.891107078039928
"Fold5.Rep4";"gbm";"Kappa";0.862187916253971
"Fold5.Rep5";"gbm";"Kappa";0.850615114235501
"Fold1.Rep1";"rf";"Accuracy";0.933579335793358
"Fold1.Rep2";"rf";"Accuracy";0.944237918215613
"Fold1.Rep3";"rf";"Accuracy";0.951851851851852
"Fold1.Rep4";"rf";"Accuracy";0.944649446494465
"Fold1.Rep5";"rf";"Accuracy";0.937037037037037
"Fold2.Rep1";"rf";"Accuracy";0.962962962962963
"Fold2.Rep2";"rf";"Accuracy";0.955555555555556
"Fold2.Rep3";"rf";"Accuracy";0.948339483394834
"Fold2.Rep4";"rf";"Accuracy";0.962962962962963
"Fold2.Rep5";"rf";"Accuracy";0.95910780669145
"Fold3.Rep1";"rf";"Accuracy";0.955555555555556
"Fold3.Rep2";"rf";"Accuracy";0.966666666666667
"Fold3.Rep3";"rf";"Accuracy";0.962962962962963
"Fold3.Rep4";"rf";"Accuracy";0.937037037037037
"Fold3.Rep5";"rf";"Accuracy";0.974074074074074
"Fold4.Rep1";"rf";"Accuracy";0.929368029739777
"Fold4.Rep2";"rf";"Accuracy";0.96309963099631
"Fold4.Rep3";"rf";"Accuracy";0.936802973977695
"Fold4.Rep4";"rf";"Accuracy";0.962962962962963
"Fold4.Rep5";"rf";"Accuracy";0.940959409594096
"Fold5.Rep1";"rf";"Accuracy";0.962962962962963
"Fold5.Rep2";"rf";"Accuracy";0.918518518518519
"Fold5.Rep3";"rf";"Accuracy";0.937037037037037
"Fold5.Rep4";"rf";"Accuracy";0.947955390334573
"Fold5.Rep5";"rf";"Accuracy";0.933333333333333
"Fold1.Rep1";"rf";"Kappa";0.8447683299389
"Fold1.Rep2";"rf";"Kappa";0.866102538576406
"Fold1.Rep3";"rf";"Kappa";0.88245931283906
"Fold1.Rep4";"rf";"Kappa";0.86839975395772
"Fold1.Rep5";"rf";"Kappa";0.847396768402154
"Fold2.Rep1";"rf";"Kappa";0.910554561717352
"Fold2.Rep2";"rf";"Kappa";0.893428063943162
"Fold2.Rep3";"rf";"Kappa";0.877597109304426
"Fold2.Rep4";"rf";"Kappa";0.910554561717352
"Fold2.Rep5";"rf";"Kappa";0.901106246448982
"Fold3.Rep1";"rf";"Kappa";0.892665474060823
"Fold3.Rep2";"rf";"Kappa";0.920353982300885
"Fold3.Rep3";"rf";"Kappa";0.911190053285968
"Fold3.Rep4";"rf";"Kappa";0.851657940663176
"Fold3.Rep5";"rf";"Kappa";0.938053097345133
"Fold4.Rep1";"rf";"Kappa";0.827953007708621
"Fold4.Rep2";"rf";"Kappa";0.911345197592253
"Fold4.Rep3";"rf";"Kappa";0.850374635997775
"Fold4.Rep4";"rf";"Kappa";0.911190053285968
"Fold4.Rep5";"rf";"Kappa";0.857152269882058
"Fold5.Rep1";"rf";"Kappa";0.909255898366606
"Fold5.Rep2";"rf";"Kappa";0.801801801801802
"Fold5.Rep3";"rf";"Kappa";0.845173041894353
"Fold5.Rep4";"rf";"Kappa";0.871843735111958
"Fold5.Rep5";"rf";"Kappa";0.841269841269841
